label,type,chapter,file,proof_file
thm:rh_spectrum_equiv,thm,10_logical_closure,src/chapters/10_logical_closure/thms/thm_rh_spectrum_equiv.tex,src/chapters/10_logical_closure/proofs/prf_thm_rh_spectrum_equiv.tex
thm:truth_of_rh,thm,10_logical_closure,src/chapters/10_logical_closure/thms/thm_truth_of_rh.tex,src/chapters/10_logical_closure/proofs/prf_thm_truth_of_rh.tex
lem:spectral_zero_encoding,lem,10_logical_closure,src/chapters/10_logical_closure/lems/lem_spectral_zero_encoding.tex,src/chapters/10_logical_closure/proofs/prf_lem_spectral_zero_encoding.tex
cor:spectral_determines_zeta,cor,10_logical_closure,src/chapters/10_logical_closure/cors/cor_spectral_determines_zeta.tex,src/chapters/10_logical_closure/proofs/prf_cor_spectral_determines_zeta.tex
thm:rh_from_real_simple_spectrum,thm,08_spectral_rigidity,src/chapters/08_spectral_rigidity/thms/thm_rh_from_real_simple_spectrum.tex,src/chapters/08_spectral_rigidity/proofs/prf_thm_rh_from_real_simple_spectrum.tex
rmk:spectral_symmetry_forward_ref,rmk,08_spectral_rigidity,src/chapters/08_spectral_rigidity/rems/rmk_spectral_symmetry_forward_ref.tex,
lem:det_zero_implies_spectrum,lem,08_spectral_rigidity,src/chapters/08_spectral_rigidity/lems/lem_det_zero_implies_spectrum.tex,src/chapters/08_spectral_rigidity/proofs/prf_lem_det_zero_implies_spectrum.tex
lem:trace_distribution_positivity,lem,08_spectral_rigidity,src/chapters/08_spectral_rigidity/lems/lem_trace_distribution_positivity.tex,src/chapters/08_spectral_rigidity/proofs/prf_lem_trace_distribution_positivity.tex
lem:inject_zero_real_spectrum,lem,08_spectral_rigidity,src/chapters/08_spectral_rigidity/lems/lem_inject_zero_real_spectrum.tex,src/chapters/08_spectral_rigidity/proofs/prf_lem_inject_zero_real_spectrum.tex
lem:trace_distribution_positive,lem,08_spectral_rigidity,src/chapters/08_spectral_rigidity/lems/lem_trace_distribution_positive.tex,src/chapters/08_spectral_rigidity/proofs/prf_lem_trace_distribution_positive.tex
lem:real_spectrum_implies_rh_rigidity,lem,08_spectral_rigidity,src/chapters/08_spectral_rigidity/lems/lem_real_spectrum_implies_rh_rigidity.tex,src/chapters/08_spectral_rigidity/proofs/prf_lem_real_spectrum_implies_rh_rigidity.tex
lem:spectral_encoding_injection,lem,08_spectral_rigidity,src/chapters/08_spectral_rigidity/lems/lem_spectral_encoding_injection.tex,src/chapters/08_spectral_rigidity/proofs/prf_lem_spectral_encoding_injection.tex
prop:inverse_spectral_rigidity,prop,08_spectral_rigidity,src/chapters/08_spectral_rigidity/props/prop_inverse_spectral_rigidity.tex,src/chapters/08_spectral_rigidity/proofs/prf_prop_inverse_spectral_rigidity.tex
prop:spectrum_reality_implies_rh_multiplicity,prop,08_spectral_rigidity,src/chapters/08_spectral_rigidity/props/prop_spectrum_reality_implies_rh_multiplicity.tex,src/chapters/08_spectral_rigidity/proofs/prf_prop_spectrum_reality_implies_rh_multiplicity.tex
rmk:karamata_vs_korevaar,rmk,07_tauberian_growth,src/chapters/07_tauberian_growth/rems/rmk_karamata_vs_korevaar.tex,
lem:log_corrected_tauberian_estimate,lem,07_tauberian_growth,src/chapters/07_tauberian_growth/lems/lem_log_corrected_tauberian_estimate.tex,src/chapters/07_tauberian_growth/proofs/prf_lem_log_corrected_tauberian_estimate.tex
lem:laplace_kernel_growth_class,lem,07_tauberian_growth,src/chapters/07_tauberian_growth/lems/lem_laplace_kernel_growth_class.tex,src/chapters/07_tauberian_growth/proofs/prf_lem_laplace_kernel_growth_class.tex
lem:spectral_convexity_estimate,lem,07_tauberian_growth,src/chapters/07_tauberian_growth/lems/lem_spectral_convexity_estimate.tex,src/chapters/07_tauberian_growth/proofs/prf_lem_spectral_convexity_estimate.tex
lem:korevaar_tauberian_constants_verified,lem,07_tauberian_growth,src/chapters/07_tauberian_growth/lems/lem_korevaar_tauberian_constants_verified.tex,src/chapters/07_tauberian_growth/proofs/prf_lem_korevaar_tauberian_constants_verified.tex
